"InChIKey","ClassyFy Status","Kingdom","Superclass","Class","Subclass","Parent Level 1","Parent Level 2","Parent Level 3","Parent Level 4"
"GUGOEEXESWIERI-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Diphenylmethanes","Diphenylmethanes"
"GWBOEEVOSDBARW-UHFFFAOYNA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides","Oligopeptides"
"GXTGTCSHGJLVPW-SIMHLUFANA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds"
"GYGGJZCRRDXTBB-GQSQFWLQNA-N","Completed","Organic compounds","Organoheterocyclic compounds","Naphthopyrans","","Naphthopyrans"
"HAECORBRWKQWGT-SZDDFOHBNA-N","Completed","Organic compounds","Benzenoids","Tetralins","","Tetralins"
"HBJXRRXWHSHZPU-PDBXOOCHSA-N","Completed","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Amines","Alkanolamines","1,2-aminoalcohols","N-acylethanolamines"
"HBZNVZIRJWODIB-NHCUFCNUSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","Phosphatidylethanolamines"
"HDTRYLNUVZCQOY-LIZSDCNHSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","O-glycosyl compounds"
"HDXFGBFIEQUETL-DSCOMPIGNA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","N-acyl-alpha amino acids and derivatives","N-acyl-alpha amino acids"
"HFFREILXLCWCQH-NAHKZAEYNA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides"
"HHDDCCUIIUWNGJ-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Beta hydroxy acids and derivatives"
"HJEINPVZRDJRBY-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Halobenzenes","Chlorobenzenes","Dichlorobenzenes"
"HJIAMFHSAAEUKR-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzophenones","Benzophenones"
"HKBNFRWWGNBEIC-HNNXBMFYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Thiochromanes","","Thiochromanes"
"HKXVEAPTOBWDBW-LJQANCHMSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Diazanaphthalenes","Benzodiazines","Quinoxalines"
"HMDYSOWCVAYVMA-BQMKLPKVNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroidal glycosides","Steroidal saponins"
"HMVDRJCEIAATNJ-NVTHFYPKNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Diterpene glycosides"
"HNDNGAKJXKATIX-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Fatty acid methyl esters"
"HNDVDQJCIGZPNO-YFKPBYRVSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Histidine and derivatives"
"HOMYIYLRRDTKAA-XRJMOXAESA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Sphingolipids","Glycosphingolipids","Glycosphingolipids"
"HOOOPXDSCKBLFG-UHFFFAOYNA-N","Completed","Organic compounds","Benzenoids","Phenols","1-hydroxy-2-unsubstituted benzenoids","1-hydroxy-2-unsubstituted benzenoids"
"HPNMFZURTQLUMO-UHFFFAOYSA-N","Completed","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Amines","Secondary amines","Dialkylamines"
"HPPZJYLVFCHDDX-JEVNKCSWNA-N","Completed","Organic compounds","Organoheterocyclic compounds","Pyrrolizines","","Pyrrolizines"
"HPWWQPXTUDMRBI-LJIQLVJANA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Iridoid O-glycosides"
"HRCNGTBLBDTIMR-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Aziridines","Aziridinecarboxylic acids or derivatives","Aziridinecarboxylic acids"
"HRKAMJBPFPHCSD-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Organic phosphoric acids and derivatives","Phosphate esters","Alkyl phosphates","Trialkyl phosphates"
"HSCJRCZFDFQWRP-JZMIEXBBSA-N","Completed","Organic compounds","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars"
"HTCPEWKHGGGJBI-UHFFFAOYSA-N","Completed","Organic compounds","Organic 1,3-dipolar compounds","Propargyl-type 1,3-dipolar organic compounds","Diazo compounds","Diazo compounds"
"HTVYQCLJTJPTPF-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Sesterterpenoids","Sesterterpenoids"
"HTYHJXFUSAYYEQ-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Neoflavonoids","Prenylated neoflavonoids","Prenylated neoflavonoids"
"HUZMUKSSVRFAOQ-MRVPVSSYSA-N","Completed","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Amines","Alkanolamines","1,2-aminoalcohols"
"HXDYGXYRNIPKRC-TWYLJJHKNA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Isoflavonoids","Pyranoisoflavonoids","Pyranoisoflavonoids"
"HXEACLLIILLPRG-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Alpha amino acids"
"HXPPUWDAQKHJLL-UHFFFAOYSA-N","Completed","Organic compounds","Lignans, neolignans and related compounds","","","Lignans, neolignans and related compounds"
"HXPRJHCNJNTTOS-JTQLQIEISA-N","Completed","Organic compounds","Organoheterocyclic compounds","Benzofurans","","Benzofurans"
"HYQNKKAJVPMBDR-UYWMCZCJNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids","Sesquiterpenoids"
"IBKONBFVCDMGDA-TZWMYICKNA-N","Completed","Organic compounds","Alkaloids and derivatives","Ergoline and derivatives","Lysergic acids and derivatives","Ergopeptines"
"IDPUKCWIGUEADI-UHFFFAOYSA-N","Completed","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Nitrogen mustard compounds","Nitrogen mustard compounds"
"IEHPLRVWOHZKCS-NSCUHMNNSA-N","Completed","Organic compounds","Benzenoids","Phenols","Methoxyphenols","Methoxyphenols"
"IGTYILLPRJOVFY-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Organic sulfuric acids and derivatives","Arylsulfates","Phenylsulfates"
"IHFACKVTKFGBBA-YFUVOBOANA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Tetraterpenoids","Carotenoids","Xanthophylls"
"IJJBWCDJBSWQCR-CJLVFECKNA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides","Oligopeptides"
"IJLWGRNIWQQPLE-LLVKDONJSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Coumarans","","Coumarans"
"IKJFYINYNJYDTA-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Benzothiophenes","Dibenzothiophenes","Dibenzothiophene-5,5-dioxides"
"ILGWGUVHTRBYJV-SFYWUSEQNA-O","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides"
"ILOBQZRATUNEIG-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Quinolines and derivatives","","Quinolines and derivatives"
"INTUZWVQVCYQHS-UHFFFAOYSA-N","Completed","Organic compounds","Alkaloids and derivatives","","","Alkaloids and derivatives"
"IOELSRBWPWTRTK-IGINRGJINA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavones","8-prenylated flavones"
"IOGXOCVLYRDXLW-UHFFFAOYSA-N","Completed","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Organic nitroso compounds","Organic O-nitroso compounds"
"IPCSVZSSVZVIGE-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids"
"IRDWOWJPGRCPQK-UHFFFAOYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Ethers","Dialkyl ethers"
"ISHIUSZGAFLPLK-DTIYRWBDNA-N","Completed","Organic compounds","Organoheterocyclic compounds","Pyrrolines","","Pyrrolines"
"ISWSIDIOOBJBQZ-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Phenols","1-hydroxy-4-unsubstituted benzenoids","1-hydroxy-4-unsubstituted benzenoids"
"ITTPZDMHCNGAGQ-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids"
"IUIDQLRVWWELCS-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Tetrazines","Aminotetrazines","Aminotetrazines"
"IUPCWCLVECYZRV-ZRDIBKRKNA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Aminosaccharides","Aminoglycosides"
"IUUKDWXSYSAIGO-KUQFTLLTNA-O","Not Found","","","","",""
"IVTCJQZAGWTMBZ-LTKCOYKYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids"
"IWKYEJKHXKRZIJ-PIEZJCHHNA-N","Completed","Organic compounds","Organoheterocyclic compounds","Tetrapyrroles and derivatives","Chlorins","Chlorins"
"IYMKZHJAGBHDOV-UHFFFAOYNA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Anthracyclines","","Anthracyclines"
"IYWHBXSPNUEWOS-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Organic phosphonic acids and derivatives","Phosphonic acid diesters","Dialkyl alkylphosphonates"
"JARYYMUOCXVXNK-METIAYAZNA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","O-glycosyl compounds"
"JBFYFLXEJFQWMU-WDSKDSINSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides","Dipeptides"
"JBKVHLHDHHXQEQ-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Lactams","Caprolactams","Caprolactams"
"JDLSRXWHEBFHNC-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzoic acid esters"
"JDRMNHOIHYWSFN-JFUMCEBXSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroidal glycosides","Steroidal saponins"
"JDRMYOQETPMYQX-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Fatty acid methyl esters"
"JERSOOYEUQPDMR-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Naphthopyrans","","Naphthopyrans"
"JHIXEZNTXMFXEK-UHFFFAOYSA-N","Completed","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Amines","Alkanolamines","1,2-aminoalcohols","N-acylethanolamines"
"JHPNVNIEXXLNTR-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Straight chain fatty acids"
"JHXQBQRGJBYTRL-HUKKYASJSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Triterpenoids"
"JIBJFCGHEWXKFO-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Naphthalenes","Naphthols and derivatives","Naphthols and derivatives"
"JIUGZSYPFREDLG-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty alcohol esters","Fatty alcohol esters"
"JJKQRSNEGCOSOC-VOTSOKGWSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Hydroxycinnamic acids and derivatives"
"JJLNIKUTLBJNSR-CASKHVRINA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides","Oligopeptides"
"JJMDCOVWQOJGCB-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Delta amino acids and derivatives"
"JKXHMVHBYLVNJU-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Anthracenes","Anthraquinones","Anthraquinones"
"JLDLXPZTQHZTBT-BQPLEEGUNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Azasteroids and derivatives","Azasteroids and derivatives"
"JLPULHDHAOZNQI-ZTIMHPMXSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphatidylcholines"
"JOFDPSBOUCXJCC-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Anilides","Anilides"
"JPIJQSOTBSSVTP-STHAYSLISA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives"
"JQVNCYNADFKYNN-AACXJDPINA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids","Diterpenoids"
"JSIVWCLRCGAVHN-GCOKGBOCSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Pregnane steroids","Pregnane steroids"
"JTDNAYJQWWTNDA-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Nitrobenzenes","Nitrobenzenes"
"JTVPZMFULRWINT-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonyl compounds","Benzenesulfonyl compounds"
"JXXUMCIVRUWCTN-UHFFFAOYSA-N","Completed","","","",""
